product_id,item_name,price,gender,category,product_link,model_image_link,image_link
E475380-000,Full-Zip Hoodie,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E475380-000,,
E465203-000,UV Protection Full-Zip Hoodie,24.9,men,tops,https://www.uniqlo.com/us/en/products/E465203-000,,
E476146-000,UV Protection Full-Zip Hoodie | Printed,24.9,men,tops,https://www.uniqlo.com/us/en/products/E476146-000,,
E471808-000,Oversized Pullover Hoodie,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E471808-000,,
E475378-000,Pullover Hoodie,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E475378-000,,
E475378-000,Pullover Hoodie,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E475378-000,,
E479799-000,Sweatshirt,24.9,men,tops,https://www.uniqlo.com/us/en/products/E479799-000,,
E479849-000,Half-Zip Sweatshirt,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E479849-000,,
E475377-000,Sweatshirt,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E475377-000,,
E481040-000,Sweatshirt,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E481040-000,,
E479797-000,Sweatshirt,24.9,men,tops,https://www.uniqlo.com/us/en/products/E479797-000,,
E471809-000,Sweatpants,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E471809-000,,
E479803-000,Sweatpants,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E479803-000,,
E479789-000,Pile Lined Sweatpants,24.9,men,tops,https://www.uniqlo.com/us/en/products/E479789-000,,
E479803-000,Sweatpants,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E479803-000,,
E481118-000,Slayer: Kimetsu no Yaiba UT Graphic T-Shirt | Zenitsu,14.9,men,tops,https://www.uniqlo.com/us/en/products/E481118-000,,
E474438-000,Slayer: Kimetsu no Yaiba UT Graphic T-Shirt | Tanjiro and Nezuko,14.9,men,tops,https://www.uniqlo.com/us/en/products/E474438-000,,
E485080-000,Chainsaw Man UT Graphic T-Shirt | Reze Arc,14.9,men,tops,https://www.uniqlo.com/us/en/products/E485080-000,,
E474439-000,Chainsaw Man UT Graphic T-Shirt | Denji,14.9,men,tops,https://www.uniqlo.com/us/en/products/E474439-000,,
E480696-000,PIECE UT Graphic T-Shirt | S-Clones,14.9,men,tops,https://www.uniqlo.com/us/en/products/E480696-000,,
E478827-000,PIECE UT Graphic T-Shirt | Kuma and Bonney,14.9,men,tops,https://www.uniqlo.com/us/en/products/E478827-000,,
E480698-000,PIECE UT Graphic T-Shirt | The New Four Emperors,14.9,men,tops,https://www.uniqlo.com/us/en/products/E480698-000,,
E480697-000,PIECE UT Graphic T-Shirt | Lucci and Zorro,14.9,men,tops,https://www.uniqlo.com/us/en/products/E480697-000,,
E478913-000,Da Dan UT Graphic T-Shirt,14.9,unisex,tops,https://www.uniqlo.com/us/en/products/E478913-000,,
E474432-000,Da Dan UT Graphic T-Shirt,14.9,unisex,tops,https://www.uniqlo.com/us/en/products/E474432-000,,
E484291-000,Da Dan UT Graphic T-Shirt,14.9,unisex,tops,https://www.uniqlo.com/us/en/products/E484291-000,,
E483932-000,Da Dan UT Graphic T-Shirt,14.9,unisex,tops,https://www.uniqlo.com/us/en/products/E483932-000,,
E483933-000,curation UT Graphic T-Shirt | BERSERK,14.9,unisex,tops,https://www.uniqlo.com/us/en/products/E483933-000,,
E484292-000,curation UT Graphic T-Shirt | BERSERK,14.9,unisex,tops,https://www.uniqlo.com/us/en/products/E484292-000,,
E474902-000,curation UT Graphic T-Shirt | Berserk,14.9,unisex,tops,https://www.uniqlo.com/us/en/products/E474902-000,,
E479030-000,curation UT Graphic T-Shirt | Berserk,14.9,unisex,tops,https://www.uniqlo.com/us/en/products/E479030-000,,
E485290-000,ARCHIVE MoMA Collection Sweatshirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E485290-000,,
E485278-000,ARCHIVE MoMA Collection Graphic T-Shirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E485278-000,,
E485277-000,ARCHIVE MoMA Collection Graphic T-Shirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E485277-000,,
E485275-000,ARCHIVE MoMA Collection Graphic T-Shirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E485275-000,,
E485276-000,ARCHIVE MoMA Collection Graphic T-Shirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E485276-000,,
E485289-000,ARCHIVE MoMA Collection Sweatshirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E485289-000,,
E479779-000,Pokemon Sweatshirt | Mewtwo,39.9,men,tops,https://www.uniqlo.com/us/en/products/E479779-000,,
E480860-000,Pokemon UT Graphic T-Shirt | Gardevoir,39.9,men,tops,https://www.uniqlo.com/us/en/products/E480860-000,,
E480857-000,Pokemon UT Graphic T-Shirt | Omanyte,39.9,men,tops,https://www.uniqlo.com/us/en/products/E480857-000,,
E480859-000,Pokemon UT Graphic T-Shirt | Magikarp,39.9,men,tops,https://www.uniqlo.com/us/en/products/E480859-000,,
E480856-000,GHIBLI Sweatshirt | Spirited Away,39.9,unisex,tops,https://www.uniqlo.com/us/en/products/E480856-000,,
E480848-000,GHIBLI UT Graphic T-Shirt | My Neighbor Totoro,39.9,unisex,tops,https://www.uniqlo.com/us/en/products/E480848-000,,
E480346-000,GHIBLI Sweatshirt | The Boy and the Heron,39.9,unisex,tops,https://www.uniqlo.com/us/en/products/E480346-000,,
E480849-000,GHIBLI UT Graphic T-Shirt | HowlÃ¢Â€Â™s Moving Castle,39.9,unisex,tops,https://www.uniqlo.com/us/en/products/E480849-000,,
E474462-000,GHIBLI UT Graphic T-Shirt | The Boy and the Heron,39.9,unisex,tops,https://www.uniqlo.com/us/en/products/E474462-000,,
E480850-000,GHIBLI UT Graphic T-Shirt | The Tale of The Princess Kaguya,39.9,unisex,tops,https://www.uniqlo.com/us/en/products/E480850-000,,
E480853-000,GHIBLI Sweatshirt | My Neighbor Totoro,39.9,unisex,tops,https://www.uniqlo.com/us/en/products/E480853-000,,
E480851-000,GHIBLI UT Graphic T-Shirt | Pom Poko,39.9,unisex,tops,https://www.uniqlo.com/us/en/products/E480851-000,,
E480852-000,GHIBLI UT Graphic T-Shirt,39.9,unisex,tops,https://www.uniqlo.com/us/en/products/E480852-000,,
E481328-000,Art UT Graphic T-Shirt | Sorcerer Mickey Mouse,39.9,men,tops,https://www.uniqlo.com/us/en/products/E481328-000,,
