product_id,item_name,price,gender,category,product_link,model_image_link,image_link,num_id
E480081-000,Cotton T-Shirt | Long Sleeve,19.9,women,tops,https://www.uniqlo.com/us/en/products/E480081-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/480081/sub/usgoods_480081_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480081/sub/goods_480081_sub14_3x4.jpg?width=400,480081
E484297-000,T-Shirt | Long Sleeve,19.9,women,tops,https://www.uniqlo.com/us/en/products/E484297-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/484297/sub/usgoods_484297_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/484297/sub/goods_484297_sub14_3x4.jpg?width=400,484297
E449860-000,T-Shirt | Long-Sleeve,19.9,women,tops,https://www.uniqlo.com/us/en/products/E449860-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/449860/sub/usgoods_449860_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/449860/sub/goods_449860_sub14_3x4.jpg?width=400,449860
E480036-000,Ribbed T-Shirt | Long Sleeve | Striped,19.9,women,tops,https://www.uniqlo.com/us/en/products/E480036-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/480036/sub/usgoods_480036_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480036/sub/goods_480036_sub14_3x4.jpg?width=400,480036
E476855-000,Ribbed Raglan T-Shirt | Long Sleeve,19.9,women,tops,https://www.uniqlo.com/us/en/products/E476855-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/476855/sub/usgoods_476855_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/476855/sub/goods_476855_sub14_3x4.jpg?width=400,476855
E479588-000,High Neck T-Shirt,19.9,women,tops,https://www.uniqlo.com/us/en/products/E479588-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479588/sub/usgoods_479588_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479588/sub/goods_479588_sub14_3x4.jpg?width=400,479588
E481026-000,High Neck T-Shirt | Striped,19.9,women,tops,https://www.uniqlo.com/us/en/products/E481026-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/481026/sub/usgoods_481026_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/481026/sub/goods_481026_sub14_3x4.jpg?width=400,481026
E465751-000,Ribbed T-Shirt | Long Sleeve,19.9,women,tops,https://www.uniqlo.com/us/en/products/E465751-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/465751/sub/usgoods_465751_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/465751/sub/goods_465751_sub14_3x4.jpg?width=400,465751
E479586-000,Soft Half-Zip T-Shirt,19.9,women,tops,https://www.uniqlo.com/us/en/products/E479586-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479586/sub/usgoods_479586_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479586/sub/goods_479586_sub14_3x4.jpg?width=400,479586
E479693-000,Stretch Fleece Half-Zip T-Shirt,19.9,women,tops,https://www.uniqlo.com/us/en/products/E479693-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479693/sub/usgoods_479693_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479693/sub/goods_479693_sub14_3x4.jpg?width=400,479693
