product_id,item_name,price,gender,category,product_link,model_image_link,image_link,num_id
E473983-000,Cropped Bra Top,19.9,women,tops,https://www.uniqlo.com/us/en/products/E473983-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/473983/item/usgoods_00_473983_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/473983/sub/goods_473983_sub14_3x4.jpg,473983
E473983-000,Cropped Bra Top,19.9,women,tops,https://www.uniqlo.com/us/en/products/E473983-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/473983/item/usgoods_00_473983_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/473983/sub/goods_473983_sub14_3x4.jpg,473983
E480054-000,Cotton T-Shirt | Striped,19.9,women,tops,https://www.uniqlo.com/us/en/products/E480054-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/480054/sub/usgoods_480054_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480054/sub/goods_480054_sub14_3x4.jpg,480054
E465755-000,Cotton T-Shirt,19.9,women,tops,https://www.uniqlo.com/us/en/products/E465755-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/465755/sub/usgoods_465755_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/465755/sub/goods_465755_sub14_3x4.jpg,465755
E480808-000,T-Shirt,19.9,women,tops,https://www.uniqlo.com/us/en/products/E480808-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/480808/sub/usgoods_480808_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480808/sub/goods_480808_sub14_3x4.jpg,480808
E473980-000,Bra Top,19.9,women,tops,https://www.uniqlo.com/us/en/products/E473980-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/473980/item/usgoods_69_473980_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/473980/sub/goods_473980_sub14_3x4.jpg,473980
E473977-000,Bra Camisole,19.9,women,tops,https://www.uniqlo.com/us/en/products/E473977-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/473977/item/usgoods_00_473977_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/473977/sub/goods_473977_sub14_3x4.jpg,473977
E442063-000,Fleece T-Shirt | Turtleneck,19.9,women,tops,https://www.uniqlo.com/us/en/products/E442063-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/442063/sub/usgoods_442063_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/442063/sub/goods_442063_sub14_3x4.jpg,442063
E442063-000,Fleece T-Shirt | Turtleneck,19.9,women,tops,https://www.uniqlo.com/us/en/products/E442063-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/442063/sub/usgoods_442063_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/442063/sub/goods_442063_sub14_3x4.jpg,442063
E471601-000,Cashmere Blend T-Shirt | Extra Warm | Turtleneck,19.9,women,tops,https://www.uniqlo.com/us/en/products/E471601-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/471601/item/usgoods_69_471601_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/471601/sub/goods_471601_sub14_3x4.jpg,471601
